2021 rank,City,State[c],2021 estimate,2020 census,Change,2020 land area,2020 land area2,2020 population density,2020 population density2,Location
"2021
rank",City,State,"2021
estimate","2020
census",Change,2020 land area,2020 land area,2020 population density,2020 population density,Location
1,New York,New York,"8,467,513","8,804,190",?3.82%,300.5 sq mi,778.3 km,"29,298/sq mi","11,312/km",40°40?N 73°56?W? / ?40.66°N 73.93°W
2,Los Angeles,California,"3,849,297","3,898,747",?1.27%,469.5 sq mi,"1,216.0 km","8,304/sq mi","3,206/km",34°01?N 118°25?W? / ?34.01°N 118.41°W
3,Chicago,Illinois,"2,696,555","2,746,388",?1.81%,227.7 sq mi,589.7 km,"12,061/sq mi","4,657/km",41°50?N 87°41?W? / ?41.83°N 87.68°W
4,Houston,Texas,"2,288,250","2,304,580",?0.71%,640.4 sq mi,"1,658.6 km","3,599/sq mi","1,390/km",29°47?N 95°23?W? / ?29.78°N 95.39°W
5,Phoenix,Arizona,"1,624,569","1,608,139",+1.02%,518.0 sq mi,"1,341.6 km","3,105/sq mi","1,199/km",33°34?N 112°05?W? / ?33.57°N 112.09°W
6,Philadelphia,Pennsylvania,"1,576,251","1,603,797",?1.72%,134.4 sq mi,348.1 km,"11,933/sq mi","4,607/km",40°00?N 75°08?W? / ?40.00°N 75.13°W
7,San Antonio,Texas,"1,451,853","1,434,625",+1.20%,498.8 sq mi,"1,291.9 km","2,876/sq mi","1,110/km",29°28?N 98°31?W? / ?29.47°N 98.52°W
8,San Diego,California,"1,381,611","1,386,932",?0.38%,325.9 sq mi,844.1 km,"4,256/sq mi","1,643/km",32°49?N 117°08?W? / ?32.81°N 117.13°W
9,Dallas,Texas,"1,288,457","1,304,379",?1.22%,339.6 sq mi,879.6 km,"3,841/sq mi","1,483/km",32°47?N 96°46?W? / ?32.79°N 96.76°W
10,San Jose,California,"983,489","1,013,240",?2.94%,178.3 sq mi,461.8 km,"5,683/sq mi","2,194/km",37°17?N 121°49?W? / ?37.29°N 121.81°W
11,Austin,Texas,"964,177","961,855",+0.24%,319.9 sq mi,828.5 km,"3,007/sq mi","1,161/km",30°18?N 97°45?W? / ?30.30°N 97.75°W
12,Jacksonville,Florida,"954,614","949,611",+0.53%,747.3 sq mi,"1,935.5 km","1,271/sq mi",491/km,30°20?N 81°40?W? / ?30.33°N 81.66°W
13,Fort Worth,Texas,"935,508","918,915",+1.81%,342.9 sq mi,888.1 km,"2,646/sq mi","1,022/km",32°47?N 97°20?W? / ?32.78°N 97.34°W
14,Columbus,Ohio,"906,528","905,748",+0.09%,220.0 sq mi,569.8 km,"4,117/sq mi","1,590/km",39°59?N 82°59?W? / ?39.98°N 82.98°W
15,Indianapolis,Indiana,"882,039","887,642",?0.63%,361.6 sq mi,936.5 km,"2,455/sq mi",948/km,39°46?N 86°08?W? / ?39.77°N 86.14°W
16,Charlotte,North Carolina,"879,709","874,579",+0.59%,308.3 sq mi,798.5 km,"2,837/sq mi","1,095/km",35°12?N 80°50?W? / ?35.20°N 80.83°W
17,San Francisco,California,"815,201","873,965",?6.72%,46.9 sq mi,121.5 km,"18,635/sq mi","7,195/km",37°43?N 123°02?W? / ?37.72°N 123.03°W
18,Seattle,Washington,"733,919","737,015",?0.42%,83.8 sq mi,217.0 km,"8,795/sq mi","3,396/km",47°37?N 122°21?W? / ?47.62°N 122.35°W
19,Denver,Colorado,"711,463","715,522",?0.57%,153.1 sq mi,396.5 km,"4,674/sq mi","1,805/km",39°46?N 104°53?W? / ?39.76°N 104.88°W
20,Oklahoma City,Oklahoma,"687,725","681,054",+0.98%,606.2 sq mi,"1,570.1 km","1,123/sq mi",434/km,35°28?N 97°31?W? / ?35.46°N 97.51°W
21,Nashville,Tennessee,"678,851","689,447",?1.54%,475.8 sq mi,"1,232.3 km","1,449/sq mi",559/km,36°10?N 86°47?W? / ?36.17°N 86.78°W
22,El Paso,Texas,"678,415","678,815",?0.06%,258.4 sq mi,669.3 km,"2,627/sq mi","1,014/km",31°50?N 106°25?W? / ?31.84°N 106.42°W
23,Washington,District of Columbia,"670,050","689,545",?2.83%,61.1 sq mi,158.2 km,"11,286/sq mi","4,358/km",38°54?N 77°01?W? / ?38.90°N 77.01°W
24,Boston,Massachusetts,"654,776","675,647",?3.09%,48.3 sq mi,125.1 km,"13,989/sq mi","5,401/km",42°20?N 71°01?W? / ?42.33°N 71.02°W
25,Las Vegas,Nevada,"646,790","641,903",+0.76%,141.8 sq mi,367.3 km,"4,527/sq mi","1,748/km",36°13?N 115°16?W? / ?36.22°N 115.26°W
26,Portland,Oregon,"641,162","652,503",?1.74%,133.5 sq mi,345.8 km,"4,888/sq mi","1,887/km",45°32?N 122°39?W? / ?45.53°N 122.65°W
27,Detroit,Michigan,"632,464","639,111",?1.04%,138.7 sq mi,359.2 km,"4,608/sq mi","1,779/km",42°23?N 83°06?W? / ?42.38°N 83.10°W
28,Louisville,Kentucky,"628,594","633,045",?0.70%,324.9 sq mi,841.5 km,"1,948/sq mi",752/km,38°10?N 85°38?W? / ?38.16°N 85.64°W
29,Memphis,Tennessee,"628,127","633,104",?0.79%,297.0 sq mi,769.2 km,"2,132/sq mi",823/km,35°06?N 89°58?W? / ?35.10°N 89.97°W
30,Baltimore,Maryland,"576,498","585,708",?1.57%,80.9 sq mi,209.5 km,"7,240/sq mi","2,800/km",39°18?N 76°37?W? / ?39.30°N 76.61°W
